plant_code,plant_name,state,county,unit,EIA,EIA_proposed,NEEDS,CAPD,NESHAP
50410,Chester Operations,Pennsylvania,Delaware,3,TRUE,FALSE,TRUE,FALSE,FALSE
50410,Chester Operations,Pennsylvania,Delaware,4,TRUE,FALSE,TRUE,FALSE,FALSE
50431,University of Michigan,Michigan,Washtenaw,1,TRUE,FALSE,TRUE,FALSE,FALSE
50936,Winnebago County Landfill Gas,Wisconsin,Winnebago,1,FALSE,FALSE,TRUE,FALSE,FALSE
52061,Hartford Hospital Cogeneration,Connecticut,Hartford,1,FALSE,TRUE,FALSE,FALSE,FALSE
54091,Mansfield Mill,Louisiana,DeSoto,1,TRUE,FALSE,FALSE,FALSE,FALSE
54224,Franklin Heating Station,Minnesota,Olmsted,1,FALSE,TRUE,FALSE,FALSE,FALSE
54327,Toyon Power Station,California,Los Angeles,1,FALSE,FALSE,TRUE,FALSE,FALSE
54907,Mass Inst Tech Cntrl Utilities/Cogen Plt,Massachusetts,Middlesex,1,TRUE,FALSE,FALSE,FALSE,FALSE
54907,Mass Inst Tech Cntrl Utilities/Cogen Plt,Massachusetts,Middlesex,2,TRUE,FALSE,FALSE,FALSE,FALSE
55129,Desert Basin,Arizona,Pinal,1,TRUE,FALSE,TRUE,TRUE,FALSE
55129,Desert Basin,Arizona,Pinal,2,TRUE,FALSE,TRUE,TRUE,FALSE
55153,Guadalupe Generating Station,Texas,Guadalupe,1,FALSE,TRUE,FALSE,FALSE,FALSE
55153,Guadalupe Generating Station,Texas,Guadalupe,2,FALSE,TRUE,FALSE,FALSE,FALSE
55218,Hinds Energy Facility,Mississippi,Hinds,1,TRUE,FALSE,TRUE,TRUE,FALSE
55419,Plaquemine Cogeneration Plant,Louisiana,Iberville,1,FALSE,TRUE,FALSE,FALSE,FALSE
55419,Plaquemine Cogeneration Plant,Louisiana,Iberville,2,FALSE,TRUE,FALSE,FALSE,FALSE
55460,Indeck Niles Energy Center,Michigan,Cass,1,TRUE,FALSE,TRUE,TRUE,FALSE
55460,Indeck Niles Energy Center,Michigan,Cass,2,TRUE,FALSE,TRUE,TRUE,FALSE
55460,Indeck Niles Energy Center,Michigan,Cass,3,TRUE,FALSE,TRUE,TRUE,FALSE
