sector_name,is_CHP,state,county,plant_name,plant_code,unit_id,generator_id,prime_mover,nameplate_capacity_mw_EIA,nameplate_capacity_mw_CAPD,nameplate_capacity_mw_NESHAP,capacity_factor_percent,has_SCR_EIA,has_SCR_NEEDS,has_SCR_CAPD,has_SCR_NESHAP,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,is_multifuel_EIA,is_multifuel_NESHAP,is_fuel_switching,is_cofire,operating_year_EIA,operating_year_CAPD,permit_construction_date,turbine_make,turbine_model,emission_unit_description,x_coordinate,y_coordinate
Industrial CHP,TRUE,Texas,Brazoria,Power Island,10154,GEN3,GEN3,GT,50,NA,NA,NA,NA,FALSE,NA,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2020,NA,NA,NA,NA,NA,-95.1952,29.2293
IPP Non-CHP,FALSE,California,Sutter,Greenleaf 1,10350,CTGA,CTGA (34.9),GT,34.9,34.9,NA,0.4,NA,TRUE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,2022,2021,NA,NA,NA,NA,-121.696072,39.052922
IPP Non-CHP,FALSE,California,Sutter,Greenleaf 1,10350,CTGB,CTGB (34.9),GT,34.9,34.9,NA,0.4,NA,TRUE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,2022,2021,NA,NA,NA,NA,-121.696072,39.052922
Industrial Non-CHP,FALSE,California,San Bernardino,New-Indy Ontario Mill,10427,GEN2,GEN2,GT,16.5,NA,NA,NA,NA,FALSE,NA,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2019,NA,NA,NA,NA,NA,-117.540193,34.045361
Industrial Non-CHP,FALSE,California,San Bernardino,New-Indy Ontario Mill,10427,GEN3,GEN3,GT,16.5,NA,NA,NA,NA,FALSE,NA,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2019,NA,NA,NA,NA,NA,-117.540193,34.045361
Industrial CHP,TRUE,Texas,Calhoun,Formosa Utility Venture Ltd,10554,CHP2,3TBG1,CT/CA,122,NA,NA,NA,TRUE,NA,NA,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2023,NA,NA,NA,NA,NA,-96.5417,28.6917
Industrial CHP,TRUE,Texas,Calhoun,Formosa Utility Venture Ltd,10554,CHP2,3TBG2,CT/CA,122,NA,NA,NA,TRUE,NA,NA,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2023,NA,NA,NA,NA,NA,-96.5417,28.6917
Commercial CHP,TRUE,Indiana,St Joseph,University of Notre Dame,50366,GT1,GT1,GT,5.4,NA,NA,NA,NA,FALSE,NA,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2019,NA,NA,NA,NA,NA,-86.2367,41.7094
Commercial CHP,TRUE,Indiana,St Joseph,University of Notre Dame,50366,GT2,GT2,GT,5.4,NA,NA,NA,NA,FALSE,NA,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2019,NA,NA,NA,NA,NA,-86.2367,41.7094
Industrial CHP,TRUE,Pennsylvania,Delaware,Chester Operations,50410,6000,6,CT/CA,34.6,NA,NA,NA,TRUE,FALSE,NA,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2020,NA,NA,NA,NA,NA,-75.358801,39.843743
Industrial CHP,TRUE,Pennsylvania,Delaware,Chester Operations,50410,7000,7,CT/CA,34.6,NA,NA,NA,TRUE,FALSE,NA,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2020,NA,NA,NA,NA,NA,-75.358801,39.843743
Commercial CHP,TRUE,Michigan,Washtenaw,University of Michigan,50431,CC1,CT6,CT/CA,41.38,NA,15.8,NA,FALSE,FALSE,NA,TRUE,NG,DFO,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,2022,NA,2022,Solar,Titan 130E,Combustion Turbine Generator,-83.734617,42.281167
Industrial CHP,FALSE,Louisiana,DeSoto,Mansfield Mill,54091,GEN5,GEN5,GT,62,NA,NA,NA,NA,NA,NA,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,2019,NA,NA,NA,NA,NA,-93.5562,32.1575
Commercial CHP,TRUE,Massachusetts,Middlesex,Mass Inst Tech Cntrl Utilities/Cogen Plt,54907,GT200,GT200,GT,21.7,NA,NA,NA,NA,NA,NA,NA,NG,DFO,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,2021,NA,NA,NA,NA,NA,-71.093876,42.360986
Commercial CHP,TRUE,Massachusetts,Middlesex,Mass Inst Tech Cntrl Utilities/Cogen Plt,54907,GT300,GT300,GT,21.7,NA,NA,NA,NA,NA,NA,NA,NG,DFO,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,2021,NA,NA,NA,NA,NA,-71.093876,42.360986
Electric Utility,FALSE,Arizona,Pinal,Desert Basin,55129,CTG4,DBSGT4 (49.5),GT,49.5,49.5,NA,2.3,NA,FALSE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,2022,2022,NA,NA,NA,NA,-111.7889,32.9042
Electric Utility,FALSE,Arizona,Pinal,Desert Basin,55129,CTG5,DBSGT5 (49.5),GT,49.5,49.5,NA,2.5,NA,FALSE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,2022,2022,NA,NA,NA,NA,-111.7889,32.9042
Electric Utility,FALSE,Mississippi,Hinds,Hinds Energy Facility,55218,H04BS,H04BS (49.1),GT,49.1,49.1,NA,1.5,NA,FALSE,FALSE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,2020,2019,NA,NA,NA,NA,-90.219906,32.378969
IPP Non-CHP,FALSE,Michigan,Cass,Indeck Niles Energy Center,55460,INEC,"CT1 (370.6), ST1 (368.1)",CT/CA,587.2,554.65,NA,74.2,TRUE,TRUE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2022,2022,NA,NA,NA,NA,-86.221394,41.862114
IPP Non-CHP,FALSE,Michigan,Cass,Indeck Niles Energy Center,55460,INEC,"CT2 (370.6), ST1 (368.1)",CT/CA,587.2,554.65,NA,75,TRUE,TRUE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2022,2021,NA,NA,NA,NA,-86.221394,41.862114
Electric Utility,FALSE,Louisiana,Washington,Washington Parish Energy Center,55486,CTG01,CTG1 (207),GT,199.8,207,NA,8,NA,FALSE,FALSE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,2020,2020,NA,NA,NA,NA,-89.909166,30.791389
Electric Utility,FALSE,Louisiana,Washington,Washington Parish Energy Center,55486,CTG02,CTG2 (207),GT,199.8,207,NA,8.3,NA,FALSE,FALSE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,2020,2020,NA,NA,NA,NA,-89.909166,30.791389
IPP Non-CHP,FALSE,Pennsylvania,York,York Energy Center,55524,CCB2,CTG5,CT/CA,444.7,NA,NA,NA,TRUE,TRUE,NA,NA,NG,DFO,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,2019,NA,NA,NA,NA,NA,-76.306666,39.7375
IPP Non-CHP,FALSE,Pennsylvania,York,York Energy Center,55524,CCB2,CTG6,CT/CA,444.7,NA,NA,NA,TRUE,TRUE,NA,NA,NG,DFO,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,2019,NA,NA,NA,NA,NA,-76.306666,39.7375
IPP Non-CHP,FALSE,Minnesota,Blue Earth,Mankato Energy Center,56104,MKST,"STG1 (320), CTG1 (210)",CT/CA,368.7,370,NA,41.6,TRUE,TRUE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2019,2019,NA,NA,NA,NA,-94.003,44.1988
Electric Utility,FALSE,California,Placer,Roseville Energy Park,56298,4,0004 (30),GT,30,30,NA,0.5,NA,FALSE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2022,2022,NA,NA,NA,NA,-121.3811,38.7928
Electric Utility,FALSE,California,Placer,Roseville Energy Park,56298,5,0005 (30),GT,30,30,NA,0.4,NA,FALSE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2022,2022,NA,NA,NA,NA,-121.3811,38.7928
IPP Non-CHP,FALSE,Texas,Wharton,Colorado Bend Energy Center,56350,CT4A,CT-4A (46),GT,37,46,NA,0.6,NA,FALSE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,2023,2022,NA,NA,NA,NA,-96.0683,29.2878
IPP Non-CHP,FALSE,Texas,Wharton,Colorado Bend Energy Center,56350,CT4B,CT-4B (46),GT,37,46,NA,0.7,NA,FALSE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,2023,2023,NA,NA,NA,NA,-96.0683,29.2878
IPP Non-CHP,FALSE,New York,Dutchess,Cricket Valley Energy,57185,CCG1,"CT1 (236.3), ST1 (174.3)",CT/CA,437.5,410.6,NA,51.5,TRUE,TRUE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2020,2019,NA,NA,NA,NA,-73.581111,41.676111
IPP Non-CHP,FALSE,New York,Dutchess,Cricket Valley Energy,57185,CCG2,"CT2 (236.3), ST2 (174.3)",CT/CA,437.5,410.6,NA,46.5,TRUE,TRUE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2020,2019,NA,NA,NA,NA,-73.581111,41.676111
IPP Non-CHP,FALSE,New York,Dutchess,Cricket Valley Energy,57185,CCG3,"ST3 (174.3), CT3 (236.3)",CT/CA,437.5,410.6,NA,50.8,TRUE,TRUE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2020,2020,NA,NA,NA,NA,-73.581111,41.676111
Electric Utility,FALSE,North Dakota,McKenzie,Lonesome Creek Station,57943,6,06 (45.2),GT,60.5,45.2,NA,34.9,NA,TRUE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,2021,2021,NA,NA,NA,NA,-103.57861,47.796667
Commercial CHP,TRUE,California,San Bernardino,Energy Center,58168,TURB1,TURB1,GT,0.3,NA,NA,NA,NA,NA,NA,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,2019,NA,NA,NA,NA,NA,-117.163889,34.063056
Commercial CHP,TRUE,California,San Bernardino,Energy Center,58168,TURB2,TURB2,GT,0.3,NA,NA,NA,NA,NA,NA,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,2019,NA,NA,NA,NA,NA,-117.163889,34.063056
Commercial CHP,TRUE,California,San Bernardino,Energy Center,58168,TURB3,TURB3,GT,0.3,NA,NA,NA,NA,NA,NA,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,2019,NA,NA,NA,NA,NA,-117.163889,34.063056
Commercial CHP,TRUE,Pennsylvania,Centre,West Campus Steam Plant,58194,CT2,CT2,GT,6.1,NA,NA,NA,NA,NA,NA,NA,NG,DFO,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,2021,NA,NA,NA,NA,NA,-77.864722,40.792778
Commercial CHP,TRUE,Arizona,Maricopa,Arizona State University CHP,58199,G2,G2,GT,7.9,NA,NA,NA,NA,NA,NA,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2019,NA,NA,NA,NA,NA,-111.928333,33.417222
Industrial CHP,TRUE,Pennsylvania,Beaver,Shell Chemical Appalachia LLC,58933,COGN,"GTG1 (41), STG2 (75), STG1 (75)",CT/CA,102.72,91,NA,77.6,TRUE,TRUE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2021,2021,NA,NA,NA,NA,-80.336389,40.671667
Industrial CHP,TRUE,Pennsylvania,Beaver,Shell Chemical Appalachia LLC,58933,COGN,"STG1 (75), GTG3 (41), STG2 (75)",CT/CA,102.72,91,NA,75.9,TRUE,TRUE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2021,2021,NA,NA,NA,NA,-80.336389,40.671667
Industrial CHP,TRUE,Pennsylvania,Beaver,Shell Chemical Appalachia LLC,58933,COGN,"STG2 (75), GTG2 (41), STG1 (75)",CT/CA,102.72,91,NA,75.7,TRUE,TRUE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2021,2021,NA,NA,NA,NA,-80.336389,40.671667
IPP CHP,TRUE,New Jersey,Mercer,Bristol Myers Squibb Lawrenceville,58947,TG102,TG102,GT,5.6,NA,NA,NA,NA,FALSE,NA,NA,NG,DFO,NA,NA,NA,NA,TRUE,NA,TRUE,NA,2021,NA,NA,NA,NA,NA,-74.707778,40.324722
Industrial CHP,TRUE,Texas,Brazoria,Freeport LP Pretreatment Facility,59145,65GTG,65GTG,GT,87,NA,NA,NA,NA,FALSE,NA,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,2019,NA,NA,NA,NA,NA,-95.306944,28.979167
Commercial CHP,TRUE,New York,Albany,Albany Medical Ctr Cogen Plant,59453,GTG1A,GTG1A,GT,4.3,NA,NA,NA,NA,NA,NA,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,2020,NA,NA,NA,NA,NA,-73.7777,42.655
IPP Non-CHP,FALSE,Massachusetts,Norfolk,Exelon West Medway II LLC,59882,4,4 (100),GT,131.8,100,NA,8.7,NA,TRUE,TRUE,NA,NG,KER,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,2019,2019,NA,NA,NA,NA,-71.4447,42.137218
IPP Non-CHP,FALSE,Massachusetts,Norfolk,Exelon West Medway II LLC,59882,5,5 (100),GT,131.8,100,NA,10,NA,TRUE,TRUE,NA,NG,KER,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,2019,2019,NA,NA,NA,NA,-71.4447,42.137218
Electric Utility,FALSE,Florida,Okeechobee,Okeechobee Clean Energy Center,60345,CC1,1A,CT/CA,572.39,NA,NA,NA,FALSE,TRUE,NA,NA,NG,DFO,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,2019,NA,NA,NA,NA,NA,-80.791111,27.634167
