state,county,plant_name,owner_name,unit,EIA,EIA_proposed,NEEDS,NESHAP
Texas,Harris,NRG THW GT Electric Generating Station,NA,1,FALSE,TRUE,FALSE,FALSE
Texas,Harris,NRG THW GT Electric Generating Station,NA,2,FALSE,TRUE,FALSE,FALSE
Texas,Harris,Remy Jade Power Station,NA,1,FALSE,TRUE,FALSE,FALSE
Texas,Harris,Remy Jade Power Station,NA,2,FALSE,TRUE,FALSE,FALSE
Texas,Harris,Remy Jade Power Station,NA,3,FALSE,TRUE,FALSE,FALSE
Texas,Harris,Remy Jade Power Station,NA,4,FALSE,TRUE,FALSE,FALSE
Texas,Harris,Remy Jade Power Station,NA,5,FALSE,TRUE,FALSE,FALSE
Texas,Harris,Remy Jade Power Station,NA,6,FALSE,TRUE,FALSE,FALSE
Texas,Harris,Remy Jade Power Station,NA,7,FALSE,TRUE,FALSE,FALSE
Texas,Harris,Remy Jade Power Station,NA,8,FALSE,TRUE,FALSE,FALSE
Texas,Harris,SJRR Power LLC,SJRR,1,TRUE,FALSE,TRUE,FALSE
Texas,Harris,SJRR Power LLC,SJRR,2,TRUE,FALSE,TRUE,FALSE
Texas,Harris,TECO CHP-1,NA,1,FALSE,TRUE,FALSE,FALSE
Texas,Mitchell,FGE Texas I,NA,1,FALSE,TRUE,FALSE,FALSE
Texas,Mitchell,FGE Texas I,NA,2,FALSE,TRUE,FALSE,FALSE
Texas,Mitchell,FGE Texas I,NA,3,FALSE,TRUE,FALSE,FALSE
Texas,Mitchell,FGE Texas II,NA,1,FALSE,TRUE,FALSE,FALSE
Texas,Mitchell,FGE Texas II,NA,2,FALSE,TRUE,FALSE,FALSE
Texas,Mitchell,FGE Texas II,NA,3,FALSE,TRUE,FALSE,FALSE
Texas,Montgomery,Montgomery County,Entergy Texas Inc.,1,TRUE,FALSE,TRUE,FALSE
Texas,Montgomery,Montgomery County,Entergy Texas Inc.,2,TRUE,FALSE,TRUE,FALSE
Texas,Montgomery,Montgomery County,Entergy Texas Inc.,3,TRUE,FALSE,TRUE,FALSE
Texas,Orange,Orange County Advanced Power Station,NA,1,FALSE,TRUE,FALSE,FALSE
Texas,Orange,Orange County Advanced Power Station,NA,2,FALSE,TRUE,FALSE,FALSE
Texas,Orange,Orange County Advanced Power Station,NA,3,FALSE,TRUE,FALSE,FALSE
Texas,Victoria,Tres City Power LLC,Victoria City Power LLC,1,TRUE,FALSE,TRUE,FALSE
Texas,Victoria,Tres City Power LLC,Victoria City Power LLC,2,TRUE,FALSE,TRUE,FALSE
Texas,Victoria,"Tres Port Power, LLC",Victoria Port Power LLC,1,TRUE,FALSE,TRUE,FALSE
Texas,Victoria,"Tres Port Power, LLC",Victoria Port Power LLC,2,TRUE,FALSE,TRUE,FALSE
Texas,Victoria,Victoria Port Power II LLC,Victoria Port Power II,1,TRUE,FALSE,TRUE,FALSE
Texas,Victoria,Victoria Port Power II LLC,Victoria Port Power II,2,TRUE,FALSE,TRUE,FALSE
Texas,Wharton,Colorado Bend Energy Center,NA,1,FALSE,TRUE,FALSE,FALSE
Texas,Wharton,Colorado Bend Energy Center,NA,2,FALSE,TRUE,FALSE,FALSE
